id,type,nr,date,url
156,wintibrief,148,2025-11-27,https://mailchi.mp/wnti/370-wohnungen-werden-saniert-und-niemand-muss-gehen
157,wintibrief,149,2025-11-28,https://mailchi.mp/wnti/hollywood-moment-fr-den-hc-rychenberg
158,wintibrief,150,2025-12-01,https://mailchi.mp/wnti/sonntag-im-coop-am-bahnhof-keiner-will-hin-aber-alle-stehen-drin
159,wintibrief,151,2025-12-02,https://mailchi.mp/wnti/an-das-arschloch-herr-xy
160,parlamentsbrief,8,2025-12-02,https://mailchi.mp/wnti/parlamentsbrief-sparallianz-krzt-budget-um-15-millionen-cjmuc5imxl
161,wintibrief,152,2025-12-03,https://mailchi.mp/wnti/viel-junges-theater-an-der-verleihung-des-jungendpreis-2025
162,wintibrief,153,2025-12-04,https://mailchi.mp/wnti/die-lokstadt-im-aufbruch-xgaoji4yds
163,wintibrief,154,2025-12-05,https://mailchi.mp/wnti/badebrunnen-fr-oberi-erhlt-finanzierung
164,wintibrief,155,2025-12-08,https://mailchi.mp/wnti/lernen-zwischen-alltag-und-krieg
165,wintibrief,156,2025-12-09,https://mailchi.mp/wnti/klimabilanz-nach-vier-jahren-verwaltung-noch-nicht-auf-kurs-0iub177p5s
166,parlamentsbrief,9,2025-12-09,https://mailchi.mp/wnti/parlamentsbrief-ein-budget-viele-kompromisse
167,wintibrief,157,2025-12-10,https://mailchi.mp/wnti/die-stadt-glht-am-stadtglt
168,wintibrief,158,2025-12-11,https://mailchi.mp/wnti/es-leuchtet-bunt-in-winterthur
169,wintibrief,159,2025-12-12,https://mailchi.mp/wnti/keine-wunderlsung-die-stadt-wertet-den-mattenbach-auf-vrc7ftndc4
170,wintibrief,160,2025-12-15,https://mailchi.mp/wnti/spielwiese-und-spielhlle-das-chrafti-ein-jahr-nach-dem-crowdfunding
171,wintibrief,161,2025-12-16,https://mailchi.mp/wnti/wieso-kann-man-in-winti-kein-plastik-mehr-recyceln
172,wintibrief,162,2025-12-17,https://mailchi.mp/wnti/wenn-mir-etwas-suspekt-ist-fackle-ich-nicht-lange
173,wintibrief,163,2025-12-18,https://mailchi.mp/wnti/ankommen-in-winterthur-dank-eines-tandems-tb56hhf7n2
174,wintibrief,164,2025-12-19,https://mailchi.mp/wnti/wenn-ki-heimlich-mitschreibt
175,wintibrief,165,2025-12-22,https://mailchi.mp/wnti/gisi-bleibt-demo-in-der-altstadt-zum-erhalt-des-besetzten-hauses
176,wintibrief,166,2025-12-23,https://mailchi.mp/wnti/advents-deko-der-judd-brunnen-kunstkommission-interveniert
177,wintibrief,167,2025-12-24,https://mailchi.mp/wnti/was-bedeutet-den-winterthurerinnen-weihnachten
178,wintibrief,168,2025-12-29,https://mailchi.mp/wnti/sie-gibt-dem-jodeln-ein-frisches-gesicht
179,wintibrief,169,2025-12-30,https://mailchi.mp/wnti/sie-fhrte-die-kesb-durch-schwerste-zeiten
